cycle,ambient_temperature,capacity,mean_current,mean_temperature,mean_time,SoH,RUL
2,24,1.89105229539079,-1.8691188840185695,32.62485875142121,1812.0874974619292,1.0,612
4,24,1.880637027686859,-1.8680422715350309,32.738209593287145,1803.1433724489798,0.9944923428456648,610
6,24,1.8806626717011388,-1.877784734502072,32.68511456550919,1793.8093794871795,0.9945059035569906,608
8,24,1.8807709009833444,-1.8875256535871228,32.554748499572646,1784.3594278350517,0.9945631358622364,606
10,24,1.8794508728285058,-1.8871559747738404,32.46787845303298,1783.5013505154639,0.9938650969142624,604
12,24,1.8807003517117404,-1.8675154082122565,32.48624734055599,1793.4977589743594,0.9945258289766596,602
14,24,1.8799352523566075,-1.8673304059806155,32.55779966353037,1792.8422461538462,0.9941212397661985,600
16,24,1.8815088124038797,-1.9063154499484403,32.45374435641106,1756.570764397906,0.9949533479268811,598
18,24,1.8696907870385844,-1.9164259300038171,32.373246444985035,1745.895568421053,0.9887039039563995,596
20,24,1.870052380139199,-1.9165016044519978,32.30534276235138,1746.0239315789474,0.9888951165957833,594
22,24,1.8700442394188577,-1.926771167846017,32.183319483399806,1736.7096984126983,0.9888908117331621,592
25,24,1.8596518987766364,-1.936979366983281,32.378853181816005,1717.784090909091,0.9833952785490447,589
27,24,1.8590746560862206,-1.947065774665518,32.2913249500013,1708.225698924731,0.9830900290898824,587
29,24,1.8590084577709232,-1.946961601670498,32.14782797344657,1707.6932258064517,0.9830550230165661,585
31,24,1.8593622586957048,-1.946851050742258,32.01380948237792,1698.3709945945948,0.9832421151057928,583
33,24,1.8587355450601035,-1.9574063719005568,31.881310103471357,1688.5975869565218,0.9829107051087616,581
35,24,1.847817291322145,-1.9680136940585706,31.854304304240515,1679.5417049180328,0.977137065868551,579
37,24,1.8485252916137047,-1.9680499927642312,31.856555404576753,1670.3903406593408,0.9775114607455649,577
39,24,1.848378951850034,-1.9680218912213907,31.867182607083926,1669.7937802197803,0.9774340753850292,575
42,24,1.8807805437609766,-1.9066656790606797,32.35216872128999,1765.5130781249998,0.9945682350219243,572
46,24,1.8814721597443598,-1.9267118604677658,32.60219299451182,1746.6842315789472,0.9949339657767368,568
50,24,1.8810954313244785,-1.9260915660103672,32.19571819720114,1737.6627513227513,0.994734749488113,564
54,24,1.8710089649779995,-1.9468340181835688,31.805988160181123,1718.3130374331552,0.9894009644991608,560
58,24,1.8701995151941375,-1.9364196896718646,31.737001978644926,1727.275670212766,0.9889729225111973,556
62,24,1.8706715362800985,-1.9675984733558025,31.51707667966367,1689.6680706521743,0.9892225301434724,552
66,24,1.8596124644020169,-1.9680130544442065,31.442860781038384,1688.6594782608695,0.9833744254109715,548
70,24,1.860033909718346,-1.9675572757550353,31.32326275303232,1680.233169398907,0.9835972882674648,544
74,24,1.8591653109160768,-1.967618505240168,31.28571570579735,1679.2383551912565,0.9831379679174215,540
78,24,1.8481398178778288,-1.9678214300979182,31.331850868998004,1679.283196721312,0.9773076198804469,536
82,24,1.849201702126164,-1.9675056354779956,31.32285733932258,1670.9220934065934,0.9778691507545129,532
86,24,1.8834677437950846,-1.9683447778186904,31.608436452122476,1733.8072614555256,0.9959892428071969,528
90,24,1.8628211117905844,-1.9788067754387157,31.782101501165204,1705.8462164383564,0.9850711777410832,524
94,24,1.852085039652352,-1.9785908218423578,31.515041989202878,1696.4787851239669,0.9793938772431541,520
98,24,1.8469504648208708,-1.9784335668087778,31.13866351339678,1691.6339806629833,0.9766786827220949,516
102,24,1.836828431169018,-1.9781601679702336,31.068710515588776,1682.8217166666666,0.9713260895248977,512
106,24,1.8371619619672275,-1.9783765899690637,31.618244836823447,1682.8505666666667,0.9715024626474299,508
110,24,1.8316722583718854,-1.9780771457931066,31.331528063668397,1677.6330139275765,0.9685994738677316,504
114,24,1.8211470951317783,-1.9780971417908424,31.132569191182142,1668.2284341736695,0.9630337032828774,500
118,24,1.816506091511515,-1.977978349880126,30.972969676157927,1663.9107808988765,0.960579512231908,496
122,24,1.8113815601504555,-1.9784334957218421,31.1990648511682,1659.1183577464788,0.9578696287593303,492
126,24,1.8116056333939583,-1.9782873833989176,31.722267598269813,1659.0365295774648,0.9579881200586186,488
130,24,1.8060548955557403,-1.9781961432676651,31.900827580605675,1654.2645677966102,0.9550528559986308,484
134,24,1.8132041826994056,-1.9670969462670498,31.5372402498617,1639.2639497206703,0.9588334426916011,480
136,24,1.8062641938283535,-1.9781214643703728,31.24662583059252,1654.5475056497176,0.955163534203101,478
140,24,1.7958310249900458,-1.9780364457328714,30.939399361884792,1644.689880681818,0.9496464108196084,474
144,24,1.7858852600390451,-1.977935781469453,30.884857004354572,1635.3817171428573,0.9443870295876657,470
148,24,1.7803268604502753,-1.9780170042003,30.920682316695828,1630.6119570200576,0.9414477139472057,466
150,24,1.8150756899575577,-1.9779140108313502,33.880577817079796,1663.7565028089887,0.959823107156573,464
154,24,1.8157025154845838,-1.978162017642311,33.038339318294426,1663.5275196629213,0.9601545763224729,460
158,24,1.8002432178056673,-1.9779553399945098,32.27329169539202,1649.7849801699717,0.9519796053200333,456
162,24,1.7904476205609308,-1.9779914337720734,31.937919783481355,1640.4004786324788,0.9467996336880419,452
