battery_id,cycle_number,Voltage_measured,Current_measured,Temperature_measured,Time,Capacity,SOC,SOH,RUL_cycles
5,1,4.0820,-0.0025,5.6480,0.0000,1.0691,1.0000,0.9456,112.1592
5,1,4.0820,-0.0027,5.6556,9.4530,1.0691,1.0000,0.9456,112.1592
5,1,3.6784,-2.0123,5.7143,21.2650,1.0691,0.9938,0.9456,112.1592
5,1,3.6532,-2.0131,5.8134,32.2180,1.0691,0.9881,0.9456,112.1592
5,1,3.6317,-2.0123,5.9364,43.2030,1.0691,0.9823,0.9456,112.1592
5,1,3.6115,-2.0116,6.0836,54.1250,1.0691,0.9766,0.9456,112.1592
5,1,3.5918,-2.0116,6.2028,65.1090,1.0691,0.9709,0.9456,112.1592
5,1,3.5727,-2.0110,6.3643,76.1090,1.0691,0.9651,0.9456,112.1592
5,1,3.5541,-2.0110,6.5062,87.1250,1.0691,0.9594,0.9456,112.1592
5,1,3.5366,-2.0117,6.6701,98.0780,1.0691,0.9537,0.9456,112.1592
5,1,3.5207,-2.0120,6.8138,109.0620,1.0691,0.9479,0.9456,112.1592
5,1,3.5061,-2.0136,6.9326,120.0000,1.0691,0.9422,0.9456,112.1592
5,1,3.4932,-2.0125,7.0671,130.9370,1.0691,0.9365,0.9456,112.1592
5,1,3.4815,-2.0134,7.1600,141.9060,1.0691,0.9307,0.9456,112.1592
5,1,3.4711,-2.0119,7.3030,152.9060,1.0691,0.9250,0.9456,112.1592
5,1,3.4619,-2.0137,7.4480,163.8430,1.0691,0.9193,0.9456,112.1592
5,1,3.4539,-2.0116,7.5079,174.7500,1.0691,0.9136,0.9456,112.1592
5,1,3.4464,-2.0117,7.6247,185.6870,1.0691,0.9079,0.9456,112.1592
5,1,3.4398,-2.0109,7.7247,196.6090,1.0691,0.9021,0.9456,112.1592
5,1,3.4339,-2.0129,7.8139,207.5470,1.0691,0.8964,0.9456,112.1592
5,1,3.4284,-2.0126,7.9113,218.4530,1.0691,0.8907,0.9456,112.1592
5,1,3.4235,-2.0128,8.0225,229.3900,1.0691,0.8850,0.9456,112.1592
5,1,3.4189,-2.0109,8.0815,240.3430,1.0691,0.8793,0.9456,112.1592
5,1,3.4148,-2.0121,8.1965,251.3750,1.0691,0.8735,0.9456,112.1592
5,1,3.4110,-2.0123,8.2530,262.4060,1.0691,0.8677,0.9456,112.1592
5,1,3.4074,-2.0121,8.3286,273.3280,1.0691,0.8620,0.9456,112.1592
5,1,3.4041,-2.0125,8.4230,284.2810,1.0691,0.8563,0.9456,112.1592
5,1,3.4010,-2.0117,8.4732,295.2810,1.0691,0.8506,0.9456,112.1592
5,1,3.3983,-2.0088,8.5877,306.2650,1.0691,0.8448,0.9456,112.1592
5,1,3.3955,-2.0128,8.6792,317.1720,1.0691,0.8391,0.9456,112.1592
5,1,3.3929,-2.0125,8.7342,328.0930,1.0691,0.8334,0.9456,112.1592
5,1,3.3904,-2.0127,8.8255,339.0620,1.0691,0.8277,0.9456,112.1592
5,1,3.3881,-2.0136,8.9150,349.9680,1.0691,0.8220,0.9456,112.1592
5,1,3.3858,-2.0104,8.9507,360.8900,1.0691,0.8163,0.9456,112.1592
5,1,3.3836,-2.0119,9.0402,371.8750,1.0691,0.8105,0.9456,112.1592
5,1,3.3814,-2.0108,9.1294,382.9220,1.0691,0.8048,0.9456,112.1592
5,1,3.3792,-2.0111,9.1867,393.8750,1.0691,0.7990,0.9456,112.1592
5,1,3.3774,-2.0139,9.2450,404.8280,1.0691,0.7933,0.9456,112.1592
5,1,3.3753,-2.0110,9.3673,415.7500,1.0691,0.7876,0.9456,112.1592
5,1,3.3734,-2.0123,9.4203,426.6870,1.0691,0.7819,0.9456,112.1592
