cycle,ambient_temperature,capacity,mean_current,mean_temperature,mean_time,SOH,RUL
1,4,1.0819793880779518,-0.6795680439600006,9.485217152757082,3205.134140816326,1.0,180
5,4,0.927952404748273,-0.6847946624076122,9.412485833762908,2815.872543123543,0.8576433294137931,176
7,4,0.885193608411576,-0.6646163130202214,9.14441346005273,2786.4199433962262,0.8181242805226173,174
9,4,0.8581010699478283,-0.6509315601298676,9.07418033049993,2761.85884725537,0.7930844888571998,172
11,4,0.8409352213456689,-0.6402275004489041,9.063698357219925,2739.4814361445783,0.7772192618562926,170
13,4,0.8245471942901911,-0.6317025380405666,9.076577071060372,2720.7160437956204,0.7620729224379514,168
17,4,0.7935960418803983,-0.6176226155232352,9.265023738219778,2715.7035574572124,0.7334668761945244,164
21,4,0.8183676087159205,-0.627554191403777,9.339350112299787,2723.474865525672,0.756361551553846,160
23,4,0.7977644276409412,-0.6227956362441028,9.308634523153344,2695.564762376238,0.7373194318036915,158
25,4,0.7993777411831636,-0.6164358149352739,9.25414520667292,2674.5519974999997,0.7388105078445099,156
27,4,0.7783107440628891,-0.6124951744838439,9.291749311540086,2652.886573232323,0.7193397144519498,154
29,4,0.7803738231239117,-0.6120748119063896,9.310447961834724,2639.103231552163,0.72124647818863,152
33,4,0.7713058245640294,-0.6158982943710156,9.29775486780575,2673.9140604534005,0.7128655435240696,148
37,4,0.795279016979026,-0.625377064856349,9.245632947295453,2692.679270676692,0.7350223356766291,144
39,4,0.7824128169919247,-0.6180221346577055,9.21860683892004,2666.0419365482235,0.7231309816186214,142
41,4,0.7649414992231182,-0.6121745879630046,9.194130154197088,2629.934721649485,0.7069834302314894,140
43,4,0.7544899426779375,-0.6064321892488668,9.188267060937262,2613.180846753247,0.6973237669695607,138
45,4,0.7504048978314295,-0.606399621992695,9.211910760834266,2590.9035736842106,0.6935482377020717,136
49,4,0.7407258109620256,-0.6022530715841198,9.156857409395572,2570.9289547872345,0.6846025156522294,132
