Cycle,RUL,SOH
1,1835,0.969517636
2,1834,0.970474364
3,1833,0.971150545
4,1832,0.971608364
5,1831,0.971813
6,1830,0.972210909
7,1829,0.972614
8,1828,0.971699182
9,1827,0.972942455
10,1826,0.972986455
11,1825,0.973066636
12,1824,0.973197909
13,1823,0.973253545
14,1822,0.973294545
15,1821,0.973357182
16,1820,0.973392273
17,1819,0.973533
18,1818,0.973562727
19,1817,0.973454455
20,1816,0.972449636
21,1815,0.973476273
22,1814,0.973522
23,1813,0.973528
24,1812,0.972277545
25,1811,0.973372909
26,1810,0.973342636
27,1809,0.973532455
28,1808,0.973532636
29,1807,0.971187636
30,1806,0.973547455
31,1805,0.973499455
32,1804,0.973506545
33,1803,0.973389545
34,1802,0.973398727
35,1801,0.973433182
36,1800,0.973367909
37,1799,0.973161455
38,1798,0.973226727
39,1797,0.973350636
40,1796,0.973306545
41,1795,0.973188545
42,1794,0.973206636
43,1793,0.973095909
44,1792,0.973119636
45,1791,0.973037455
46,1790,0.973033364
47,1789,0.973077818
48,1788,0.973164818
49,1787,0.973149091
50,1786,0.973112273
51,1785,0.973085273
52,1784,0.972005818
53,1783,0.973130636
54,1782,0.973194909
55,1781,0.973186091
56,1780,0.973168818
57,1779,0.973004727
58,1778,0.973033909
59,1777,0.973141091
60,1776,0.973126
61,1775,0.973229727
62,1774,0.973211273
63,1773,0.973084273
64,1772,0.973043909
65,1771,0.973019182
66,1770,0.973046273
67,1769,0.972952636
68,1768,0.972939636
69,1767,0.972939182
70,1766,0.972896636
71,1765,0.972930727
72,1764,0.972878182
73,1763,0.973083364
74,1762,0.972846636
75,1761,0.972866
76,1760,0.972825727
77,1759,0.972850909
78,1758,0.972942636
79,1757,0.972911364
80,1756,0.972778364
81,1755,0.972854636
82,1754,0.972901273
83,1753,0.972790636
84,1752,0.972857545
85,1751,0.972825909
86,1750,0.971516091
87,1749,0.972693818
88,1748,0.972711455
89,1747,0.972625
90,1746,0.972628182
91,1745,0.972585455
92,1744,0.972418273
93,1743,0.972549818
94,1742,0.972540182
95,1741,0.972452909
96,1740,0.972468545
97,1739,0.972523364
98,1738,0.972536273
99,1737,0.972587727
100,1736,0.971340273
101,1735,0.972209273
102,1734,0.972394182
103,1733,0.972454455
104,1732,0.972408909
105,1731,0.972571545
106,1730,0.971497818
107,1729,0.972625455
108,1728,0.972643182
109,1727,0.972640545
110,1726,0.972629364
111,1725,0.972531091
112,1724,0.972551364
113,1723,0.972516545
114,1722,0.972613455
115,1721,0.972525182
116,1720,0.972560727
117,1719,0.972576727
118,1718,0.972459636
119,1717,0.972507
120,1716,0.972500182
121,1715,0.972370273
122,1714,0.972307818
123,1713,0.972288636
124,1712,0.972368545
125,1711,0.972315545
126,1710,0.972183636
127,1709,0.971993182
