battery_id,mat_cycle,discharge_cycle,Voltage,Current,Temperature,Time,Capacity,SOC,SOH,RUL
56,2,1,4.180,-0.002,24.278,0.000,2.035,1.000,1.000,168.000
56,2,1,4.180,0.000,24.277,16.781,2.035,1.000,1.000,168.000
56,2,1,3.966,-2.014,24.366,35.703,2.035,0.995,1.000,168.000
56,2,1,3.946,-2.009,24.515,53.781,2.035,0.990,1.000,168.000
56,2,1,3.930,-2.013,24.676,71.922,2.035,0.985,1.000,168.000
56,2,1,3.917,-2.011,24.853,90.094,2.035,0.980,1.000,168.000
56,2,1,3.906,-2.010,25.019,108.281,2.035,0.975,1.000,168.000
56,2,1,3.897,-2.010,25.204,126.453,2.035,0.970,1.000,168.000
56,2,1,3.888,-2.008,25.380,144.641,2.035,0.965,1.000,168.000
56,2,1,3.880,-2.012,25.554,162.844,2.035,0.960,1.000,168.000
56,2,1,3.873,-2.012,25.732,181.016,2.035,0.955,1.000,168.000
56,2,1,3.866,-2.013,25.903,199.219,2.035,0.950,1.000,168.000
56,2,1,3.860,-2.010,26.065,217.391,2.035,0.945,1.000,168.000
56,2,1,3.853,-2.010,26.218,235.594,2.035,0.940,1.000,168.000
56,2,1,3.848,-2.010,26.369,253.750,2.035,0.935,1.000,168.000
56,2,1,3.842,-2.009,26.542,271.984,2.035,0.930,1.000,168.000
56,2,1,3.837,-2.011,26.691,290.141,2.035,0.925,1.000,168.000
56,2,1,3.831,-2.010,26.856,308.359,2.035,0.920,1.000,168.000
56,2,1,3.826,-2.013,27.008,326.500,2.035,0.915,1.000,168.000
56,2,1,3.822,-2.011,27.164,344.750,2.035,0.910,1.000,168.000
56,2,1,3.817,-2.010,27.300,362.906,2.035,0.905,1.000,168.000
56,2,1,3.813,-2.011,27.438,381.047,2.035,0.900,1.000,168.000
56,2,1,3.808,-2.009,27.582,399.187,2.035,0.895,1.000,168.000
56,2,1,3.804,-2.009,27.714,417.281,2.035,0.890,1.000,168.000
56,2,1,3.800,-2.010,27.856,435.484,2.035,0.885,1.000,168.000
56,2,1,3.795,-2.014,27.994,453.672,2.035,0.880,1.000,168.000
56,2,1,3.791,-2.010,28.131,471.812,2.035,0.875,1.000,168.000
56,2,1,3.787,-2.012,28.256,490.203,2.035,0.870,1.000,168.000
56,2,1,3.782,-2.011,28.398,508.344,2.035,0.865,1.000,168.000
56,2,1,3.778,-2.011,28.519,526.625,2.035,0.860,1.000,168.000
56,2,1,3.774,-2.012,28.659,544.922,2.035,0.855,1.000,168.000
56,2,1,3.769,-2.011,28.769,563.125,2.035,0.850,1.000,168.000
56,2,1,3.765,-2.010,28.878,581.406,2.035,0.845,1.000,168.000
56,2,1,3.761,-2.010,28.979,599.656,2.035,0.840,1.000,168.000
56,2,1,3.757,-2.010,29.083,617.875,2.035,0.835,1.000,168.000
56,2,1,3.753,-2.011,29.186,636.047,2.035,0.830,1.000,168.000
56,2,1,3.749,-2.010,29.278,654.422,2.035,0.825,1.000,168.000
56,2,1,3.745,-2.011,29.366,672.594,2.035,0.820,1.000,168.000
56,2,1,3.741,-2.010,29.439,690.812,2.035,0.815,1.000,168.000
56,2,1,3.737,-2.011,29.503,708.937,2.035,0.810,1.000,168.000
56,2,1,3.733,-2.010,29.569,727.266,2.035,0.805,1.000,168.000
56,2,1,3.729,-2.013,29.620,745.578,2.035,0.800,1.000,168.000
56,2,1,3.725,-2.012,29.680,763.797,2.035,0.795,1.000,168.000
56,2,1,3.722,-2.010,29.722,782.109,2.035,0.790,1.000,168.000
56,2,1,3.718,-2.014,29.772,800.484,2.035,0.785,1.000,168.000
56,2,1,3.714,-2.011,29.816,818.797,2.035,0.780,1.000,168.000
56,2,1,3.710,-2.010,29.851,837.016,2.035,0.775,1.000,168.000
56,2,1,3.707,-2.012,29.889,855.250,2.035,0.770,1.000,168.000
56,2,1,3.703,-2.010,29.924,873.578,2.035,0.765,1.000,168.000
56,2,1,3.699,-2.009,29.968,891.812,2.035,0.760,1.000,168.000
56,2,1,3.696,-2.012,29.988,910.141,2.035,0.755,1.000,168.000
56,2,1,3.692,-2.010,30.021,928.391,2.035,0.750,1.000,168.000
56,2,1,3.689,-2.010,30.061,946.719,2.035,0.745,1.000,168.000
56,2,1,3.685,-2.013,30.099,965.047,2.035,0.740,1.000,168.000
56,2,1,3.682,-2.009,30.135,983.391,2.035,0.735,1.000,168.000
56,2,1,3.678,-2.013,30.184,1001.766,2.035,0.730,1.000,168.000
56,2,1,3.675,-2.009,30.241,1020.172,2.035,0.725,1.000,168.000
56,2,1,3.671,-2.008,30.271,1038.594,2.035,0.720,1.000,168.000
56,2,1,3.668,-2.013,30.320,1056.922,2.035,0.715,1.000,168.000
56,2,1,3.664,-2.011,30.372,1075.203,2.035,0.710,1.000,168.000
56,2,1,3.661,-2.008,30.425,1093.687,2.035,0.705,1.000,168.000
56,2,1,3.658,-2.007,30.476,1112.000,2.035,0.699,1.000,168.000
56,2,1,3.655,-2.010,30.519,1130.328,2.035,0.694,1.000,168.000
56,2,1,3.651,-2.007,30.573,1148.750,2.035,0.689,1.000,168.000
56,2,1,3.648,-2.012,30.616,1167.125,2.035,0.684,1.000,168.000
56,2,1,3.645,-2.012,30.672,1185.641,2.035,0.679,1.000,168.000
56,2,1,3.642,-2.010,30.718,1203.984,2.035,0.674,1.000,168.000
56,2,1,3.638,-2.013,30.780,1222.406,2.035,0.669,1.000,168.000
56,2,1,3.635,-2.010,30.827,1240.797,2.035,0.664,1.000,168.000
56,2,1,3.632,-2.012,30.874,1259.156,2.035,0.659,1.000,168.000
56,2,1,3.629,-2.011,30.939,1277.547,2.035,0.654,1.000,168.000
56,2,1,3.626,-2.009,30.995,1295.906,2.035,0.649,1.000,168.000
56,2,1,3.623,-2.008,31.054,1314.297,2.035,0.644,1.000,168.000
56,2,1,3.619,-2.010,31.107,1332.687,2.035,0.639,1.000,168.000
56,2,1,3.616,-2.009,31.162,1351.203,2.035,0.634,1.000,168.000
56,2,1,3.614,-2.009,31.205,1369.687,2.035,0.629,1.000,168.000
56,2,1,3.611,-2.012,31.268,1388.125,2.035,0.624,1.000,168.000
