battery_id,mat_cycle,discharge_cycle,Voltage,Current,Temperature,Time,Capacity,SOC,SOH,RUL
56,4,1,4.186,-0.000,26.419,0.000,1.813,1.000,1.000,28.000
56,4,1,4.185,-0.002,26.416,9.360,1.813,1.000,1.000,28.000
56,4,1,3.707,-4.025,26.511,19.547,1.813,0.994,1.000,28.000
56,4,1,4.155,-0.000,26.737,29.500,1.813,0.994,1.000,28.000
56,4,1,3.678,-4.025,26.885,39.469,1.813,0.988,1.000,28.000
56,4,1,4.136,-0.001,27.091,49.375,1.813,0.988,1.000,28.000
56,4,1,3.657,-4.026,27.213,59.407,1.813,0.981,1.000,28.000
56,4,1,4.121,-0.001,27.402,69.375,1.813,0.981,1.000,28.000
56,4,1,3.641,-4.024,27.513,79.344,1.813,0.975,1.000,28.000
56,4,1,4.109,-0.000,27.668,89.375,1.813,0.975,1.000,28.000
56,4,1,3.627,-4.026,27.761,99.391,1.813,0.969,1.000,28.000
56,4,1,4.098,-0.000,27.923,109.422,1.813,0.969,1.000,28.000
56,4,1,3.616,-4.025,28.004,119.407,1.813,0.963,1.000,28.000
56,4,1,4.089,-0.002,28.172,129.438,1.813,0.963,1.000,28.000
56,4,1,3.607,-4.024,28.255,139.391,1.813,0.957,1.000,28.000
56,4,1,4.080,-0.002,28.394,149.407,1.813,0.957,1.000,28.000
56,4,1,3.599,-4.025,28.475,159.360,1.813,0.951,1.000,28.000
56,4,1,4.072,-0.002,28.624,169.360,1.813,0.951,1.000,28.000
56,4,1,3.591,-4.026,28.701,179.360,1.813,0.944,1.000,28.000
56,4,1,4.064,-0.000,28.851,189.313,1.813,0.944,1.000,28.000
56,4,1,3.585,-4.026,28.913,199.282,1.813,0.938,1.000,28.000
56,4,1,4.056,-0.001,29.063,209.235,1.813,0.938,1.000,28.000
56,4,1,3.579,-4.026,29.131,219.282,1.813,0.932,1.000,28.000
56,4,1,4.049,0.001,29.276,229.266,1.813,0.932,1.000,28.000
56,4,1,3.573,-4.025,29.331,239.266,1.813,0.926,1.000,28.000
56,4,1,4.042,-0.004,29.470,249.204,1.813,0.926,1.000,28.000
56,4,1,3.568,-4.025,29.544,259.172,1.813,0.920,1.000,28.000
56,4,1,4.035,-0.002,29.654,269.219,1.813,0.920,1.000,28.000
56,4,1,3.563,-4.026,29.742,279.141,1.813,0.914,1.000,28.000
56,4,1,4.029,0.001,29.875,289.079,1.813,0.914,1.000,28.000
56,4,1,3.558,-4.022,29.924,299.032,1.813,0.907,1.000,28.000
56,4,1,4.023,-0.000,30.045,309.094,1.813,0.907,1.000,28.000
56,4,1,3.554,-4.025,30.093,319.110,1.813,0.901,1.000,28.000
56,4,1,4.016,0.002,30.233,329.110,1.813,0.901,1.000,28.000
56,4,1,3.549,-4.026,30.299,339.079,1.813,0.895,1.000,28.000
56,4,1,4.011,-0.001,30.417,349.079,1.813,0.895,1.000,28.000
56,4,1,3.545,-4.026,30.468,359.032,1.813,0.889,1.000,28.000
56,4,1,4.005,0.000,30.558,368.969,1.813,0.889,1.000,28.000
56,4,1,3.541,-4.024,30.619,378.922,1.813,0.883,1.000,28.000
56,4,1,3.999,-0.002,30.733,388.860,1.813,0.883,1.000,28.000
56,4,1,3.537,-4.024,30.788,398.875,1.813,0.877,1.000,28.000
56,4,1,3.994,-0.002,30.899,408.829,1.813,0.877,1.000,28.000
56,4,1,3.533,-4.027,30.967,418.766,1.813,0.871,1.000,28.000
56,4,1,3.988,-0.000,31.082,428.735,1.813,0.871,1.000,28.000
56,4,1,3.529,-4.025,31.130,438.735,1.813,0.865,1.000,28.000
56,4,1,3.982,-0.000,31.208,448.704,1.813,0.865,1.000,28.000
56,4,1,3.525,-4.026,31.265,458.657,1.813,0.858,1.000,28.000
56,4,1,3.977,-0.002,31.371,468.594,1.813,0.858,1.000,28.000
56,4,1,3.521,-4.026,31.425,478.532,1.813,0.852,1.000,28.000
56,4,1,3.971,-0.000,31.526,488.532,1.813,0.852,1.000,28.000
56,4,1,3.517,-4.024,31.562,498.485,1.813,0.846,1.000,28.000
56,4,1,3.966,-0.001,31.675,508.422,1.813,0.846,1.000,28.000
56,4,1,3.512,-4.025,31.724,518.485,1.813,0.840,1.000,28.000
56,4,1,3.960,-0.001,31.802,528.422,1.813,0.840,1.000,28.000
56,4,1,3.508,-4.026,31.889,538.485,1.813,0.834,1.000,28.000
56,4,1,3.955,-0.000,31.960,548.485,1.813,0.834,1.000,28.000
56,4,1,3.504,-4.024,31.989,558.485,1.813,0.828,1.000,28.000
56,4,1,3.950,-0.001,32.096,568.422,1.813,0.828,1.000,28.000
56,4,1,3.500,-4.027,32.153,578.360,1.813,0.821,1.000,28.000
56,4,1,3.945,-0.001,32.204,588.266,1.813,0.821,1.000,28.000
56,4,1,3.496,-4.023,32.256,598.266,1.813,0.815,1.000,28.000
56,4,1,3.940,-0.001,32.352,608.313,1.813,0.815,1.000,28.000
56,4,1,3.492,-4.026,32.395,618.266,1.813,0.809,1.000,28.000
56,4,1,3.935,0.000,32.460,628.219,1.813,0.809,1.000,28.000
56,4,1,3.488,-4.022,32.492,638.219,1.813,0.803,1.000,28.000
56,4,1,3.930,0.002,32.575,648.141,1.813,0.803,1.000,28.000
56,4,1,3.484,-4.026,32.599,658.079,1.813,0.797,1.000,28.000
56,4,1,3.925,-0.001,32.632,668.016,1.813,0.797,1.000,28.000
